,x,y,cluster,type
1309,87.16563,204.7495,17,OK
1311,44.782814,137.9192,18,OK
1313,22.629416,93.73698,9,OK
1315,44.782814,137.9192,18,OK
1317,19.237389,98.7119,9,OK
1331,32.675392,41.101883,9,OK
1333,61.989723,139.17226,15,OK
1335,38.88508,40.113117,9,OK
1337,11.118391,17.119284,9,OK
1339,15.568612,20.956415,9,OK
1341,24.774912,2.7530768,9,OK
1344,19.237389,98.7119,9,OK
1346,44.782814,137.9192,18,OK
1348,13.382459,100.530136,9,OK
1350,44.782814,137.9192,18,OK
1352,87.16563,204.7495,17,OK
1354,87.16563,204.7495,17,OK
1356,87.16563,204.7495,17,OK
1358,87.16563,204.7495,17,OK
1360,87.16563,204.7495,17,OK
1400,20.177078,38.83767,9,OK
1402,23.732204,31.0362,9,OK
1404,23.732204,31.0362,9,OK
1406,44.6704,11.079486,9,OK
1408,4.4024067,-102.426926,19,OK
1410,10.371712,-111.439064,19,OK
1412,32.675392,41.101883,9,OK
1414,61.666904,147.62163,-1,OK
1416,18.431625,-98.97163,19,OK
1418,61.666904,147.62163,-1,OK
1420,155.39017,38.451527,20,OK
1423,44.99321,144.05429,-1,OK
1425,155.39017,38.451527,20,OK
1427,167.72044,42.611668,20,OK
1429,14.3343935,231.90527,21,OK
1431,14.3343935,231.90527,21,OK
1433,14.3343935,231.90527,21,OK
1435,14.3343935,231.90527,21,OK
1460,23.732204,31.0362,9,OK
1462,61.989723,139.17226,15,OK
1464,23.732204,31.0362,9,OK
1466,61.989723,139.17226,15,OK
1469,87.16563,204.7495,17,OK
1471,87.16563,204.7495,17,OK
1473,41.119408,17.19639,9,OK
1475,41.119408,17.19639,9,OK
1476,23.732204,31.0362,9,OK
1477,14.68843,29.85111,9,OK
1478,31.152931,2.5311518,9,OK
1479,41.010483,5.5430846,9,OK
1480,16.599619,34.75423,9,OK
1482,87.16563,204.7495,17,OK
1484,87.16563,204.7495,17,OK
1497,50.51328,11.163256,9,OK
1499,41.119408,17.19639,9,OK
1502,26.145546,39.69512,9,OK
1504,23.732204,31.0362,9,OK
1506,61.989723,139.17226,15,OK
1508,21.240559,109.46071,9,OK
1510,19.237389,98.7119,9,OK
1512,17.16928,105.25205,9,OK
1514,19.237389,98.7119,9,OK
1526,20.391262,44.93924,9,OK
1528,61.666904,147.62163,-1,OK
1530,-17.968246,-112.17488,19,OK
1535,17.16928,105.25205,9,OK
1537,17.16928,105.25205,9,OK
1539,87.16563,204.7495,17,OK
1541,87.16563,204.7495,17,OK
1543,87.16563,204.7495,17,OK
1545,87.16563,204.7495,17,OK
1547,87.16563,204.7495,17,OK
1549,87.16563,204.7495,17,OK
1551,87.16563,204.7495,17,OK
1553,87.16563,204.7495,17,OK
1555,195.4817,102.09783,-1,OK
1557,87.16563,204.7495,17,OK
1570,-66.15551,83.20698,9,OK
1572,40.420643,34.795395,9,OK
1573,-66.15551,83.20698,9,OK
1575,45.693054,22.742819,9,OK
1577,45.693054,22.742819,9,OK
1579,41.119408,17.19639,9,OK
1581,31.942673,14.854613,9,OK
1583,44.160885,29.462019,9,OK
1585,51.00652,27.707342,9,OK
1587,-124.68004,122.85106,16,OK
1590,34.669086,6.9013376,9,OK
1592,31.942673,14.854613,9,OK
1595,31.942673,14.854613,9,OK
1597,-124.68004,122.85106,16,OK
1599,31.942673,14.854613,9,OK
1601,31.942673,14.854613,9,OK
1603,-124.68004,122.85106,16,OK
