,x,y,cluster,type
5430,-2.545118,6.4817734,-1,OK
5432,-1.3192208,8.216166,-1,OK
5434,-2.5347118,6.4587984,-1,OK
5436,-1.4888529,8.520896,20,OK
5438,-1.3738906,8.494815,20,OK
5439,-8.523754,-6.423346,-1,OK
5440,-8.529607,-6.42023,-1,OK
5441,-1.979087,7.8198996,20,OK
5442,-8.520534,-6.4207306,-1,OK
5445,-1.8821982,8.161395,20,OK
5448,-1.932121,7.9997396,20,OK
5451,-1.8506917,8.211791,20,OK
5454,-1.9760758,7.838853,20,OK
5470,-9.353467,12.734871,29,OK
5471,2.7100103,-0.3336414,-1,OK
5473,6.9352765,-9.831942,22,OK
5475,2.1014216,17.335587,20,OK
5491,-12.065342,12.060616,-1,OK
5493,6.8934035,-9.877817,22,OK
5494,6.9222393,-9.847972,22,OK
5496,2.094401,17.320415,20,OK
5513,-9.550127,-5.858183,25,OK
5514,-9.570952,-5.853709,25,OK
5517,-1.788796,7.819959,20,OK
5520,-1.9672171,7.982124,20,OK
5523,-1.7550936,4.904967,20,OK
5525,-3.6357822,6.6635146,20,OK
5527,-9.472452,-5.787357,25,OK
5529,14.475713,5.9720583,-1,OK
5531,15.155215,6.727894,-1,OK
5532,-3.4724278,8.377215,19,OK
5534,14.954161,5.965101,-1,OK
5536,-3.5353386,6.308432,20,OK
5538,-10.057624,12.810772,32,OK
5540,-10.867009,12.627144,-1,OK
5542,-10.269656,12.830806,30,OK
5543,-9.624667,12.81685,-1,OK
5546,-9.891954,12.765537,-1,OK
5549,-9.667941,12.844299,-1,OK
5568,-2.3305385,5.8882475,20,OK
5570,-0.31939706,4.019651,20,OK
5572,-4.4327555,7.0862284,20,OK
5587,-8.404419,-5.2617254,-1,OK
5589,-10.837042,12.643839,-1,OK
5591,-9.996935,12.792652,32,OK
5593,-10.0551815,12.7889,32,OK
5595,-10.880634,12.617447,-1,OK
5597,-9.992479,12.799086,32,OK
5664,-2.0762064,3.9272008,20,OK
5665,-9.045899,-5.3924737,-1,OK
5668,-1.7604936,4.8983064,20,OK
5670,-3.0505662,6.9361243,20,OK
5673,-3.6001532,6.636369,20,OK
5674,-0.9021928,4.1586275,20,OK
5676,-3.0726485,6.7771106,20,OK
5677,-9.364931,-5.928633,25,OK
5679,-4.395449,6.965383,20,OK
5681,-1.0225576,4.049225,20,OK
5683,-2.5342126,6.1364517,20,OK
5685,-4.2574625,7.209869,20,OK
5686,-9.609257,-5.827871,25,OK
5688,-6.6978807,4.1687803,21,OK
5705,-1.7524692,4.9060855,20,OK
5707,-6.761229,4.156262,21,OK
5708,-1.7563224,4.92019,20,OK
5710,-1.0681002,4.011378,20,OK
5711,-1.0018456,4.011299,20,OK
5713,-4.239893,7.226257,20,OK
5715,-2.4962611,6.087021,20,OK
5717,-0.96152407,4.046472,20,OK
5718,-0.98114437,4.049454,20,OK
5720,-8.699872,13.207407,-1,OK
5723,-6.706098,4.1693563,21,OK
5726,-8.752769,13.157233,-1,OK
5771,-1.4885498,8.457739,20,OK
5902,-2.1274402,6.599133,20,OK
5903,-2.1013784,6.597092,20,OK
5904,-2.1256526,6.6040177,20,OK
5905,-2.122078,6.597069,20,OK
5906,2.2656047,-0.38906997,-1,OK
5908,-9.217258,12.595973,29,OK
5910,-9.223872,12.694696,-1,OK
5912,-8.749585,12.264236,-1,OK
5915,-8.360673,11.87447,-1,OK
5917,-8.681023,12.165057,-1,OK
5920,-8.888298,12.795386,29,OK
5923,-8.676048,12.153624,-1,OK
5924,-8.34246,11.8555155,-1,OK
5926,-8.736197,12.251587,-1,OK
5928,-9.290824,12.608636,29,OK
5931,-9.1881695,12.759861,29,OK
5933,-8.608845,-5.1513953,-1,OK
5936,-9.1678,12.769141,29,OK
5937,-8.705781,13.109174,-1,OK
5939,-8.619985,-5.1354847,-1,OK
5940,-8.625428,-5.1538615,-1,OK
5962,-9.006298,-5.3485074,-1,OK
5963,-2.1117606,6.5970426,20,OK
5965,-1.7985437,5.044674,20,OK
5967,-1.5416924,4.397766,20,OK
5970,-2.5373983,6.095488,20,OK
5974,-0.96559525,4.043405,20,OK
5975,-8.735055,12.253038,-1,OK
5977,-8.371879,11.885391,-1,OK
5981,-8.349507,11.86296,-1,OK
5982,-0.57606214,4.114712,-1,OK
5984,16.140097,-0.8174732,20,OK
5985,-9.972654,12.775417,32,OK
5987,-8.700323,12.1655855,-1,OK
6018,-19.735712,-33.419506,24,OK
6027,-6.511911,4.205917,-1,OK
6028,-6.523877,4.1983657,-1,OK
