,DET2.DIT,DET2.NDIT,DET2.NDITSKIP,DET2.PERIOD,DET2.TDELAY,DET2.WIN.MTCS1,DET2.WIN.MTCW1,DET2.WIN.MTRH1,DET2.WIN.MTRS1,SEQ.DARK.INS.SFN.NAME,SEQ.LAMP.COOLDOWN,SEQ.LAMP.WARMUP
80,0.005,64.0,1.0,0.02,0.0,1.0,1024.0,1024.0,1.0,1.5,120.0,300.0
81,0.04,64.0,1.0,0.02,0.0,1.0,1024.0,1024.0,1.0,1.5,120.0,300.0
652,0.005,64.0,1.0,0.02,0.0,1.0,1024.0,1024.0,1.0,1.5,120.0,300.0
653,0.02,64.0,1.0,0.02,0.0,1.0,1024.0,1024.0,1.0,,120.0,300.0
654,0.075,64.0,1.0,0.02,0.0,1.0,1024.0,1024.0,1.0,,120.0,300.0
3909,0.075,64.0,1.0,0.02,0.0,1.0,1024.0,1024.0,1.0,1.5,120.0,300.0
3910,0.02,64.0,1.0,0.02,0.0,1.0,1024.0,1024.0,1.0,1.5,120.0,300.0
