,DET1.APOTYPE.VAL,DET1.APOX.VAL,DET1.APOY.VAL,DET1.DIT,DET1.INTERFX.VAL,DET1.INTERFY.VAL,DET1.NCOHERENT.VAL,DET1.NINCOHERENT.VAL,DET1.SNRLIMIT.VAL,DET1.WLMAXCUT.VAL,DET1.WLMINCUT.VAL,DET2.APOTYPE.VAL,DET2.APOX.VAL,DET2.APOY.VAL,DET2.INTERFX.VAL,DET2.INTERFY.VAL,DET2.NCOHERENT.VAL,DET2.NINCOHERENT.VAL,DET2.SNRLIMIT.VAL,DET2.WLMAXCUT.VAL,DET2.WLMINCUT.VAL,INS.SFL.NAME,INS.SFN.NAME,SEQ.DIL.WL0,SEQ.FRINGES.DURATION,SEQ.FRINGES.NCYCLES,SEQ.OPDM.L.WLMAX,SEQ.OPDM.N.WLMAX,SEQ.PHOTO.DURATION,SEQ.SKY.DURATION,SEQ.SKY.OFFS.ALPHA,SEQ.SKY.OFFS.DELTA,TEL.CHOP.FREQ,TEL.CHOP.POSANG,TEL.CHOP.PVRATIO,TEL.CHOP.THROW
278,0.0,512.0,512.0,0.06,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,4.75,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
279,0.0,512.0,512.0,0.06,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,4.75,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
280,0.0,512.0,512.0,0.12,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,4.66,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
281,0.0,512.0,512.0,0.12,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,4.66,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
285,0.0,512.0,512.0,0.06,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,4.75,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
286,0.0,512.0,512.0,0.06,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,4.75,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
287,0.0,512.0,512.0,0.06,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,4.75,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
291,0.0,512.0,512.0,0.06,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,4.75,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
292,0.0,512.0,512.0,0.111,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.9,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
293,0.0,512.0,512.0,0.075,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
294,0.0,512.0,512.0,0.12,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,4.66,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
299,0.0,512.0,512.0,0.12,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,4.66,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
301,0.0,512.0,512.0,0.06,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,4.75,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
302,0.0,512.0,512.0,0.06,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,4.75,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
303,0.0,512.0,512.0,0.111,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.9,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
304,0.0,512.0,512.0,0.111,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.9,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
305,0.0,512.0,512.0,0.075,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
307,0.0,512.0,512.0,0.06,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,4.75,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
308,0.0,512.0,512.0,0.111,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.9,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
309,0.0,512.0,512.0,0.075,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
310,0.0,512.0,512.0,0.12,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,4.66,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
312,0.0,512.0,512.0,0.06,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,4.75,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
313,0.0,512.0,512.0,0.111,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.9,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
314,0.0,512.0,512.0,0.075,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
315,0.0,512.0,512.0,0.12,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,4.66,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
317,0.0,512.0,512.0,0.06,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,4.75,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
318,0.0,512.0,512.0,0.111,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.9,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
319,0.0,512.0,512.0,0.075,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
320,0.0,512.0,512.0,0.12,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,4.66,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
322,0.0,512.0,512.0,0.06,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,4.75,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.0
323,0.0,512.0,512.0,0.111,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.9,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.0
324,0.0,512.0,512.0,0.075,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.0
325,0.0,512.0,512.0,0.12,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,4.66,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.0
327,0.0,512.0,512.0,0.111,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.9,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
328,0.0,512.0,512.0,0.06,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,4.75,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
329,0.0,512.0,512.0,0.075,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
347,0.0,512.0,512.0,0.06,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,4.75,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,3.0
348,0.0,512.0,512.0,0.111,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.9,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,3.0
350,0.0,512.0,512.0,0.111,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.9,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,3.0
351,0.0,512.0,512.0,0.06,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,4.75,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,3.0
352,0.0,512.0,512.0,0.075,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,3.0
354,0.0,512.0,512.0,0.075,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
355,0.0,512.0,512.0,0.06,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,4.75,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,4.5
356,0.0,512.0,512.0,0.111,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.9,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,3.0
359,0.0,512.0,512.0,0.111,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.9,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,3.0
360,0.0,512.0,512.0,0.06,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,4.75,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,3.0
361,0.0,512.0,512.0,0.075,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5,2.0,3.5,60.0,1.0,4.0,13.0,60.0,30.0,1.0,15.0,0.5,0.0,1.0,3.0
