,SEQ.IMG.DIT,SEQ.IMG.NDIT,SEQ.IMG.REF.DIT,SEQ.IMG.REF.NDIT,SEQ.PUP.DIT,SEQ.PUP.NDIT,SEQ.PUP.REF.DIT,SEQ.PUP.REF.NDIT
5050,0.0015,10.0,0.0015,10.0,0.0025,2500.0,0.0016,1000.0
5053,0.0015,10.0,0.0015,10.0,0.0025,2500.0,0.0016,1000.0
5054,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
5055,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
5056,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
5219,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
5617,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
5618,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
5620,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
5621,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
5624,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
5628,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
5629,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
5633,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
5641,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
6170,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
6172,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
6174,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
6318,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
6339,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
6508,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
6509,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
6511,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
6519,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
6520,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
6522,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
6530,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
6531,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
6534,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
6537,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
6573,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
6574,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
6575,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
6576,0.007,100.0,4.0,10.0,0.5,100.0,8.0,10.0
6597,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
6599,0.0015,1000.0,0.0015,1000.0,0.0025,2500.0,0.0016,1000.0
