,SEQ.DIL.WL0,SEQ.IMG.DIT,SEQ.IMG.NDIT
2733,4.0,0.111,100.0
3848,3.5,0.0751997,100.0
3849,3.5,0.0751997,100.0
3979,3.5,0.03,100.0
5486,3.5,0.02,100.0
5734,3.4,0.02,1000.0
5738,3.5,0.02,100.0
5826,3.5,1.0,100.0
5999,3.5,0.02,100.0
