,DET1.DIT,DET1.NDIT,DET2.DIT,DET2.NDIT,INS.SFL.NAME,INS.SFN.NAME,SEQ.PZT.END,SEQ.PZT.START,SEQ.PZT.STEP
969,0.02,100.0,0.02,40.0,1.5,2.0,10.0,0.0,1.0
970,0.02,100.0,0.02,40.0,1.5,2.0,10.0,0.0,1.0
