,DET1.APOTYPE.VAL,DET1.APOX.VAL,DET1.APOY.VAL,DET1.DIT,DET1.INTERFX.VAL,DET1.INTERFY.VAL,DET1.NCOHERENT.VAL,DET1.NINCOHERENT.VAL,DET1.SNRLIMIT.VAL,DET1.WLMAXCUT.VAL,DET1.WLMINCUT.VAL,DET2.APOTYPE.VAL,DET2.APOX.VAL,DET2.APOY.VAL,DET2.DIT,DET2.INTERFX.VAL,DET2.INTERFY.VAL,DET2.NCOHERENT.VAL,DET2.NINCOHERENT.VAL,DET2.SNRLIMIT.VAL,DET2.WLMAXCUT.VAL,DET2.WLMINCUT.VAL,INS.SFL.NAME,INS.SFN.NAME,SEQ.DARK.DURATION,SEQ.DIL.WL0,SEQ.FRINGES.DURATION,SEQ.FRINGES.NCYCLES,SEQ.OPDM.L.WLMAX,SEQ.OPDM.N.WLMAX,SEQ.OPDM.NSTEPS,SEQ.PHOTO.DURATION,SEQ.SKY.DURATION,TEL.CHOP.FREQ,TEL.CHOP.POSANG,TEL.CHOP.PVRATIO,TEL.CHOP.THROW
1066,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,30.0,3.5,60.0,1.0,4.0,13.0,10.0,60.0,30.0,0.5,0.0,1.0,5.0
1073,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,30.0,3.5,60.0,1.0,4.0,13.0,10.0,60.0,30.0,0.5,0.0,1.0,5.0
1080,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,30.0,3.5,60.0,1.0,4.0,13.0,10.0,60.0,30.0,0.5,0.0,1.0,5.0
1095,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,30.0,3.5,60.0,1.0,4.0,13.0,10.0,60.0,30.0,0.5,0.0,1.0,5.0
1113,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,30.0,3.5,60.0,1.0,4.0,13.0,10.0,60.0,30.0,0.5,0.0,1.0,5.0
1140,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,30.0,3.5,60.0,1.0,4.0,13.0,10.0,60.0,30.0,0.5,0.0,1.0,5.0
1187,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,30.0,3.5,60.0,1.0,4.0,13.0,10.0,60.0,30.0,0.5,0.0,1.0,5.0
1232,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,30.0,3.5,60.0,1.0,4.0,13.0,10.0,60.0,30.0,0.5,0.0,1.0,5.0
1286,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,30.0,3.5,60.0,1.0,4.0,13.0,10.0,60.0,30.0,0.5,0.0,1.0,5.0
1323,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,30.0,3.5,60.0,1.0,4.0,13.0,10.0,60.0,30.0,0.5,0.0,1.0,5.0
1366,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,30.0,3.5,60.0,1.0,4.0,13.0,10.0,60.0,30.0,0.5,0.0,1.0,5.0
1374,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,30.0,3.5,60.0,1.0,4.0,13.0,10.0,60.0,30.0,0.5,0.0,1.0,5.0
1441,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,30.0,3.5,60.0,1.0,4.0,13.0,10.0,60.0,30.0,0.5,0.0,1.0,5.0
1490,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,30.0,3.5,60.0,1.0,4.0,13.0,10.0,60.0,30.0,0.5,0.0,1.0,5.0
1520,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,30.0,3.5,60.0,1.0,4.0,13.0,10.0,60.0,30.0,0.5,0.0,1.0,5.0
1563,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,30.0,3.5,60.0,1.0,4.0,13.0,10.0,60.0,30.0,0.5,0.0,1.0,5.0
1633,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,30.0,3.5,60.0,1.0,4.0,13.0,10.0,60.0,30.0,0.5,0.0,1.0,5.0
1645,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,30.0,3.5,60.0,1.0,4.0,13.0,10.0,60.0,30.0,0.5,0.0,1.0,5.0
1647,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,30.0,3.5,60.0,1.0,4.0,13.0,10.0,60.0,30.0,0.5,0.0,1.0,5.0
1681,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,30.0,3.5,60.0,1.0,4.0,13.0,10.0,60.0,30.0,0.5,0.0,1.0,5.0
1709,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,30.0,3.5,60.0,1.0,4.0,13.0,10.0,60.0,30.0,0.5,0.0,1.0,5.0
1714,0.0,512.0,512.0,0.2,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.03,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,10.0,3.5,10.0,1.0,4.0,13.0,10.0,10.0,5.0,0.5,0.0,1.0,5.0
1753,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,30.0,3.5,60.0,1.0,4.0,13.0,10.0,60.0,30.0,0.5,0.0,1.0,5.0
1769,0.0,512.0,512.0,0.2,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.03,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,10.0,3.5,10.0,1.0,4.0,13.0,10.0,10.0,5.0,0.5,0.0,1.0,5.0
1770,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.03,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,10.0,3.5,10.0,1.0,4.0,13.0,10.0,10.0,5.0,0.5,0.0,1.0,5.0
1771,0.0,512.0,512.0,0.2,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.03,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,10.0,3.5,10.0,1.0,4.0,13.0,10.0,10.0,5.0,0.5,0.0,1.0,5.0
1772,0.0,512.0,512.0,0.5,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.03,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,10.0,3.5,10.0,1.0,4.0,13.0,10.0,10.0,5.0,0.5,0.0,1.0,5.0
1773,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.03,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,10.0,3.5,10.0,1.0,4.0,13.0,10.0,10.0,5.0,0.5,0.0,1.0,5.0
1816,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,30.0,3.5,60.0,1.0,4.0,13.0,10.0,60.0,30.0,0.5,0.0,1.0,5.0
1822,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.03,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,10.0,3.5,10.0,1.0,4.0,13.0,10.0,10.0,5.0,0.5,0.0,1.0,5.0
1823,0.0,512.0,512.0,0.2,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.03,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,10.0,3.5,10.0,1.0,4.0,13.0,10.0,10.0,5.0,0.5,0.0,1.0,5.0
1824,0.0,512.0,512.0,0.5,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.03,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,10.0,3.5,10.0,1.0,4.0,13.0,10.0,10.0,5.0,0.5,0.0,1.0,5.0
1825,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.03,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,10.0,3.5,10.0,1.0,4.0,13.0,10.0,10.0,5.0,0.5,0.0,1.0,5.0
1826,0.0,512.0,512.0,0.2,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.03,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,10.0,3.5,10.0,1.0,4.0,13.0,10.0,10.0,5.0,0.5,0.0,1.0,5.0
1827,0.0,512.0,512.0,0.5,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.03,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,10.0,3.5,10.0,1.0,4.0,13.0,10.0,10.0,5.0,0.5,0.0,1.0,5.0
1869,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,30.0,3.5,60.0,1.0,4.0,13.0,10.0,60.0,30.0,0.5,0.0,1.0,5.0
1875,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.03,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,10.0,3.5,10.0,1.0,4.0,13.0,10.0,10.0,5.0,0.5,0.0,1.0,5.0
1876,0.0,512.0,512.0,0.2,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.03,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,10.0,3.5,10.0,1.0,4.0,13.0,10.0,10.0,5.0,0.5,0.0,1.0,5.0
1877,0.0,512.0,512.0,0.5,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.03,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,10.0,3.5,10.0,1.0,4.0,13.0,10.0,10.0,5.0,0.5,0.0,1.0,5.0
1878,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.03,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,10.0,3.5,10.0,1.0,4.0,13.0,10.0,10.0,5.0,0.5,0.0,1.0,5.0
1879,0.0,512.0,512.0,0.2,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.03,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,10.0,3.5,10.0,1.0,4.0,13.0,10.0,10.0,5.0,0.5,0.0,1.0,5.0
1880,0.0,512.0,512.0,0.5,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.03,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,10.0,3.5,10.0,1.0,4.0,13.0,10.0,10.0,5.0,0.5,0.0,1.0,5.0
1888,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,30.0,3.5,60.0,1.0,4.0,13.0,10.0,60.0,30.0,0.5,0.0,1.0,5.0
1951,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,30.0,3.5,60.0,1.0,4.0,13.0,10.0,60.0,30.0,0.5,0.0,1.0,5.0
1967,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,30.0,3.5,60.0,1.0,4.0,13.0,10.0,60.0,30.0,0.5,0.0,1.0,5.0
2022,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,30.0,3.5,60.0,1.0,4.0,13.0,10.0,60.0,30.0,0.5,0.0,1.0,5.0
2095,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,30.0,3.5,60.0,1.0,4.0,13.0,10.0,60.0,30.0,0.5,0.0,1.0,5.0
2165,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,30.0,3.5,60.0,1.0,4.0,13.0,10.0,60.0,30.0,0.5,0.0,1.0,5.0
2172,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.03,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,10.0,3.5,10.0,1.0,4.0,13.0,10.0,10.0,5.0,0.5,0.0,1.0,5.0
2173,0.0,512.0,512.0,0.2,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.03,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,10.0,3.5,10.0,1.0,4.0,13.0,10.0,10.0,5.0,0.5,0.0,1.0,5.0
2174,0.0,512.0,512.0,0.5,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.03,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,10.0,3.5,10.0,1.0,4.0,13.0,10.0,10.0,5.0,0.5,0.0,1.0,5.0
2183,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.03,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,10.0,3.5,10.0,1.0,4.0,13.0,10.0,10.0,5.0,0.5,0.0,1.0,5.0
2184,0.0,512.0,512.0,0.2,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.03,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,10.0,3.5,10.0,1.0,4.0,13.0,10.0,10.0,5.0,0.5,0.0,1.0,5.0
2185,0.0,512.0,512.0,0.5,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.03,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,10.0,3.5,10.0,1.0,4.0,13.0,10.0,10.0,5.0,0.5,0.0,1.0,5.0
2186,0.0,512.0,512.0,0.011,512.0,512.0,1.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.03,512.0,512.0,20.0,1.0,5.0,13.0,8.0,1.5,2.0,10.0,3.5,10.0,1.0,4.0,13.0,10.0,10.0,5.0,0.5,0.0,1.0,5.0
