,DET1.APOTYPE.VAL,DET1.APOX.VAL,DET1.APOY.VAL,DET1.DIT,DET1.INTERFX.VAL,DET1.INTERFY.VAL,DET1.NCOHERENT.VAL,DET1.NDIT,DET1.NINCOHERENT.VAL,DET1.SNRLIMIT.VAL,DET1.WLMAXCUT.VAL,DET1.WLMINCUT.VAL,DET2.APOTYPE.VAL,DET2.APOX.VAL,DET2.APOY.VAL,DET2.DIT,DET2.INTERFX.VAL,DET2.INTERFY.VAL,DET2.NCOHERENT.VAL,DET2.NDIT,DET2.NINCOHERENT.VAL,DET2.SNRLIMIT.VAL,DET2.WLMAXCUT.VAL,DET2.WLMINCUT.VAL,INS.SFL.NAME,INS.SFN.NAME
142,0.0,512.0,512.0,0.1,512.0,512.0,1.0,100.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.075,512.0,512.0,20.0,100.0,1.0,5.0,13.0,8.0,1.5,2.0
143,0.0,512.0,512.0,0.1,512.0,512.0,1.0,100.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.075,512.0,512.0,20.0,100.0,1.0,5.0,13.0,8.0,1.5,2.0
144,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,20.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,1.0,100.0,1.0,20.0,13.0,8.0,1.5,2.0
145,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,100.0,1.0,5.0,13.0,8.0,1.5,2.0
146,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,100.0,1.0,5.0,13.0,8.0,1.5,2.0
174,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,20.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,1.0,100.0,1.0,20.0,13.0,8.0,1.5,2.0
175,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,100.0,1.0,5.0,13.0,8.0,1.5,2.0
176,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,100.0,1.0,5.0,13.0,8.0,1.5,2.0
200,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,20.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,1.0,100.0,1.0,20.0,13.0,8.0,1.5,2.0
201,0.0,512.0,512.0,0.011,512.0,512.0,1.0,100.0,1.0,5.0,5.0,3.0,0.0,512.0,512.0,0.02,512.0,512.0,20.0,100.0,1.0,5.0,13.0,8.0,1.5,2.0
