,DET1.NDIT,DET1.NDITSKIP,DET1.PERIOD,DET1.TDELAY,DET1.WIN.MTCS1,DET1.WIN.MTCW1,DET1.WIN.MTRH1,DET1.WIN.MTRS1,SEQ.DARK.INS.SFL.NAME,SEQ.DITMAX,SEQ.DITMIN,SEQ.LAMP.COOLDOWN,SEQ.LAMP.WARMUP
62,20.0,1.0,0.0,0.0,1.0,2048.0,2048.0,1.0,1.0,30.0,0.1,120.0,3.0
73,20.0,1.0,0.0,0.0,1.0,2048.0,2048.0,1.0,1.0,30.0,0.1,120.0,300.0
3907,20.0,1.0,0.0,0.0,1.0,2048.0,2048.0,1.0,1.0,30.0,1.5,120.0,300.0
