,x,y,cluster,type
686,21.525848,-1.6936684,9,OK
689,1.2375933,-1.4951411,-1,OK
690,1.2773699,-1.5266327,-1,OK
691,1.2514294,-1.502084,-1,OK
693,21.620857,-1.7146822,9,OK
694,21.482393,-1.8822474,-1,OK
695,21.492563,-1.7842299,-1,OK
696,1.2732084,-1.523574,-1,OK
698,-14.330837,12.077315,9,OK
699,-14.440346,11.9680805,9,OK
701,21.67125,-1.6851414,9,OK
702,21.72965,-1.6603459,9,OK
704,21.565353,-1.7957842,9,OK
706,21.653008,-1.7071528,9,OK
708,-14.451287,11.958218,9,OK
709,-14.415564,11.994229,9,OK
710,12.050645,4.6664248,11,OK
711,21.688812,-1.6073172,9,OK
713,-14.459502,11.949523,9,OK
715,22.105576,-1.545243,9,OK
716,22.087132,-1.5385333,9,OK
717,22.08647,-1.5364854,9,OK
719,22.117388,-1.5321223,9,OK
734,-29.466887,17.633154,-1,OK
735,-29.430107,17.695847,-1,OK
736,-29.441887,17.650747,14,OK
737,-29.449827,17.66045,14,OK
738,-29.392769,17.612032,14,OK
739,-29.392464,17.650944,14,OK
740,14.581101,10.845544,9,OK
741,14.6136465,10.871122,9,OK
742,14.407521,11.094495,9,OK
743,14.505725,10.775039,9,OK
744,14.249316,10.808464,9,OK
745,-29.416842,17.675447,14,OK
760,-29.411852,17.699823,14,OK
761,-29.468853,17.687729,14,OK
762,-29.415737,17.641386,14,OK
763,14.4758005,10.815967,9,OK
764,-28.6783,17.725742,-1,OK
765,-29.408646,17.60606,14,OK
766,-29.512527,17.614956,14,OK
767,-29.491165,17.64954,14,OK
776,21.559666,-1.616556,9,OK
777,21.625437,-1.662631,9,OK
779,21.575844,-1.6724095,9,OK
780,13.884759,7.2394,3,OK
781,21.569065,-1.5989771,9,OK
784,14.570129,10.672,9,OK
785,21.684242,-1.5730053,9,OK
786,-16.305187,7.766205,1,OK
787,-16.388493,7.8413506,1,OK
789,21.641123,-1.6096543,9,OK
790,0.06463978,-0.7133588,-1,OK
796,21.656013,-1.4783622,9,OK
801,21.634039,-1.5844765,9,OK
804,21.693327,-1.6081502,9,OK
806,21.679302,-1.7574943,9,OK
807,-0.066459335,-0.7910297,-1,OK
809,21.560068,-1.6383994,9,OK
810,-14.382058,12.026945,9,OK
812,-14.386978,12.022563,9,OK
814,-14.428526,11.980758,9,OK
816,-14.477062,11.932344,9,OK
818,21.579792,-1.624542,9,OK
819,-0.069129564,-0.7891642,-1,OK
822,21.618505,-1.6860449,9,OK
838,-29.495508,17.723345,14,OK
839,-29.381952,17.67451,14,OK
840,-29.414694,17.64023,14,OK
844,14.205583,10.7646265,9,OK
846,14.473158,10.815629,9,OK
847,-29.125858,17.700008,14,OK
848,-29.107761,17.692947,14,OK
849,-29.100225,17.706797,14,OK
850,-28.693356,17.738237,-1,OK
851,-29.371508,17.71347,14,OK
852,-29.413599,17.68047,14,OK
853,-29.416822,17.665625,14,OK
854,-29.46573,17.689682,14,OK
855,-29.414127,17.629213,14,OK
856,-29.437199,17.65141,14,OK
857,-29.425299,17.626534,14,OK
858,14.462554,10.712829,9,OK
859,-29.470049,17.65123,14,OK
860,-29.406652,17.615065,14,OK
861,-29.43713,17.877033,-1,OK
862,-29.412712,17.847631,-1,OK
863,-29.46808,17.728653,-1,OK
864,-29.397463,17.94274,-1,OK
865,-29.405762,17.664139,-1,OK
869,-29.453445,17.6785,14,OK
870,-29.34743,17.763893,14,OK
875,-29.468056,17.70374,14,OK
876,-29.50449,17.594753,14,OK
877,-29.487118,17.59343,14,OK
887,-16.37263,7.84093,1,OK
897,14.531165,10.949589,9,OK
908,14.39805,10.81729,9,OK
909,14.393949,10.727688,9,OK
910,-29.515228,17.62109,14,OK
913,21.6815,-1.5593667,9,OK
915,-14.45408,11.9541855,9,OK
917,-14.404366,12.004066,9,OK
919,21.6299,-1.6769327,9,OK
924,-14.432031,11.976984,9,OK
928,21.704733,-1.7145494,9,OK
929,4.604683,7.114073,9,OK
930,-6.997993,7.8220444,-1,OK
931,0.16182332,3.2990663,9,OK
932,-6.982375,7.800345,-1,OK
935,4.620311,7.1169505,9,OK
936,-6.983738,7.803446,-1,OK
938,-14.369039,12.039928,9,OK
940,-14.406285,12.00139,9,OK
942,-14.407846,12.001164,9,OK
945,21.515495,-1.673885,9,OK
947,21.563164,-1.7392241,9,OK
948,-4.4416647,-6.350023,10,OK
981,21.609972,-1.7624059,9,OK
983,21.634132,-1.703361,9,OK
985,14.060512,10.869326,9,OK
986,1.273192,-1.5233327,-1,OK
988,1.2769997,-1.5262792,-1,OK
991,-13.480621,12.648185,-1,OK
993,14.071965,10.879334,9,OK
994,0.11507058,-0.6745332,-1,OK
995,1.2787272,-1.527263,-1,OK
996,-14.406447,11.983892,9,OK
998,21.473236,-1.8182317,9,OK
1000,-14.434422,11.9746,9,OK
1001,0.17311169,3.3177726,9,OK
1003,21.711102,-1.6298506,9,OK
1004,-14.470674,11.9385395,9,OK
1083,14.328772,10.651756,9,OK
