,x,y,cluster,type
2790,-65.34883,13.404402,-1,ERROR
3084,-63.47097,11.064038,-1,ERROR
3085,-63.47097,11.064038,-1,ERROR
3109,-63.838394,15.382657,-1,ERROR
3223,-63.838634,13.870119,-1,ERROR
3443,-63.47097,11.064038,-1,ERROR
3551,-64.32238,15.341615,-1,ERROR
3952,-64.14599,13.868909,-1,ERROR
3963,-63.47097,11.064038,-1,ERROR
4035,-62.95728,14.604444,-1,ERROR
4465,-64.11933,14.630688,-1,ERROR
4472,-62.226326,14.574226,-1,ERROR
4910,-63.079636,15.05542,-1,ERROR
4942,-64.7616,14.485499,-1,ERROR
5164,-62.158375,12.592078,-1,ERROR
5427,-64.38501,13.319992,-1,ERROR
5672,-63.56661,14.349383,-1,ERROR
5916,-61.619358,14.664833,-1,ERROR
6289,-65.3543,12.583803,-1,ERROR
6549,-64.53844,14.840216,-1,ERROR
6604,-64.7445,14.537269,-1,ERROR
